epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.844,0.61221,1.38783,3.2113,1.16021,0.57315,0.35491,0.40673,0.32868,0.61791,0.34759,0.40898,0.34387,0.65926,1.05802,1.77222,1.30243,0.000118846,0.000118846,0.000118846
2,308.682,0.60253,1.15068,2.18701,1.14034,0.50935,0.51948,0.51864,0.40043,0.50697,0.51942,0.5252,0.4039,0.64285,1.13361,1.49877,1.26111,0.000233136,0.000233136,0.000233136
3,457.64,0.59601,1.12401,1.88629,1.13524,0.55316,0.57031,0.57528,0.42949,0.57762,0.57097,0.59701,0.45462,0.74601,1.13288,1.53694,1.37556,0.000342715,0.000342715,0.000342715
4,610.544,0.59226,1.15226,1.68658,1.12748,0.60327,0.63972,0.66057,0.50186,0.59543,0.62825,0.65892,0.52159,0.68076,1.10642,1.343,1.30683,0.000335794,0.000335794,0.000335794
5,760.75,0.57121,1.12493,1.54225,1.11072,0.60211,0.6903,0.64627,0.51615,0.60724,0.69645,0.66069,0.51939,0.64146,1.07054,1.24835,1.25858,0.000328726,0.000328726,0.000328726
6,909.714,0.55814,1.07191,1.4463,1.10437,0.71626,0.65432,0.69577,0.55619,0.72343,0.66147,0.70311,0.55281,0.61039,1.03945,1.13388,1.21777,0.000321657,0.000321657,0.000321657
7,1058.16,0.54994,1.07054,1.36006,1.09818,0.64721,0.68128,0.67843,0.54253,0.66744,0.68072,0.68947,0.5421,0.60381,1.04285,1.13756,1.21533,0.000314588,0.000314588,0.000314588
8,1207.79,0.53571,1.03751,1.27336,1.08714,0.76494,0.66173,0.73139,0.58887,0.77909,0.67295,0.74614,0.59422,0.57554,1.04524,1.04618,1.17854,0.00030752,0.00030752,0.00030752
9,1357.92,0.53861,1.04078,1.25391,1.09268,0.73627,0.67002,0.71864,0.57999,0.74033,0.67143,0.71914,0.58033,0.59755,1.00585,1.03654,1.20722,0.000300451,0.000300451,0.000300451
10,1508.7,0.5201,1.01462,1.1621,1.08003,0.77653,0.68644,0.74605,0.61532,0.73121,0.69936,0.74734,0.60947,0.57495,1.00502,0.97002,1.19006,0.000293383,0.000293383,0.000293383
11,1661.07,0.52191,1.01542,1.14314,1.07903,0.70473,0.70268,0.73167,0.5965,0.70518,0.70206,0.73235,0.5966,0.56325,1.00994,1.0117,1.19008,0.000286314,0.000286314,0.000286314
12,1811.11,0.50277,0.97253,1.07425,1.06498,0.73066,0.71443,0.7428,0.60561,0.71762,0.7048,0.72897,0.59914,0.57498,1.00456,0.98428,1.20005,0.000279245,0.000279245,0.000279245
13,1961.45,0.49794,0.95815,1.05256,1.06332,0.72699,0.68206,0.7353,0.61098,0.72617,0.68395,0.73596,0.60978,0.53458,0.98334,0.94824,1.14333,0.000272177,0.000272177,0.000272177
14,2112.1,0.48507,0.93794,1.00194,1.0553,0.72078,0.68819,0.72467,0.59901,0.72875,0.69176,0.72228,0.59307,0.5506,1.03567,0.98389,1.1682,0.000265108,0.000265108,0.000265108
15,2261.32,0.48931,0.93044,0.99513,1.06082,0.70631,0.71858,0.74118,0.61411,0.70239,0.72733,0.74111,0.60477,0.5382,0.9883,0.90543,1.16215,0.00025804,0.00025804,0.00025804
16,2410.83,0.48215,0.94013,0.94285,1.05412,0.76343,0.68817,0.76085,0.63686,0.77363,0.67543,0.76049,0.62263,0.54048,0.9845,0.8939,1.16536,0.000250971,0.000250971,0.000250971
17,2561.05,0.476,0.92017,0.92299,1.04844,0.71751,0.74325,0.74892,0.60884,0.7088,0.72936,0.74191,0.59175,0.54016,1.00186,0.88156,1.17167,0.000243902,0.000243902,0.000243902
18,2709.91,0.47092,0.92878,0.90594,1.04195,0.74915,0.70472,0.75465,0.62541,0.76092,0.71766,0.76103,0.62727,0.54649,0.97023,0.90489,1.16805,0.000236834,0.000236834,0.000236834
19,2859.64,0.4695,0.89837,0.89526,1.04698,0.74667,0.67188,0.73182,0.60398,0.77274,0.66184,0.73667,0.59479,0.54255,0.99794,0.92576,1.16162,0.000229765,0.000229765,0.000229765
20,3009.05,0.46678,0.89032,0.87597,1.04266,0.71787,0.73479,0.72742,0.60459,0.72406,0.7301,0.72022,0.59041,0.53051,1.03395,0.91345,1.16554,0.000222697,0.000222697,0.000222697
21,3158.46,0.45817,0.88908,0.842,1.03839,0.75913,0.74615,0.75106,0.63121,0.75565,0.72986,0.74662,0.62182,0.52151,0.9855,0.86105,1.14044,0.000215628,0.000215628,0.000215628
22,3308.76,0.45709,0.87046,0.8192,1.03394,0.72329,0.71252,0.72934,0.6124,0.74732,0.71021,0.74279,0.60755,0.52911,1.03499,0.88143,1.13937,0.000208559,0.000208559,0.000208559
23,3458.67,0.45376,0.85123,0.80438,1.03239,0.74781,0.73159,0.77243,0.64081,0.71174,0.76024,0.76853,0.63225,0.53163,1.00357,0.83641,1.15685,0.000201491,0.000201491,0.000201491
24,3609.43,0.44536,0.8591,0.79471,1.02788,0.76379,0.73899,0.74903,0.63393,0.76704,0.73714,0.74874,0.62486,0.5018,0.96763,0.84913,1.12307,0.000194422,0.000194422,0.000194422
25,3760.39,0.44146,0.84475,0.7716,1.02187,0.75236,0.7174,0.74507,0.63016,0.75556,0.72184,0.74432,0.61916,0.51995,0.98742,0.85975,1.15733,0.000187354,0.000187354,0.000187354
26,3911.48,0.43938,0.84306,0.75822,1.02226,0.7653,0.73275,0.7534,0.6341,0.77329,0.74327,0.75789,0.62216,0.51429,0.98857,0.83178,1.14219,0.000180285,0.000180285,0.000180285
27,4062.13,0.43592,0.82511,0.74327,1.0226,0.79863,0.69782,0.76559,0.64951,0.8079,0.7094,0.77524,0.63554,0.51208,0.99355,0.81283,1.1414,0.000173216,0.000173216,0.000173216
28,4214.4,0.42833,0.81664,0.74454,1.01656,0.69683,0.74304,0.73724,0.62762,0.75485,0.71817,0.74433,0.6223,0.5156,1.00642,0.82573,1.14713,0.000166148,0.000166148,0.000166148
29,4366.42,0.42306,0.81913,0.71183,1.0114,0.74245,0.72443,0.73885,0.63537,0.79156,0.72181,0.75354,0.61925,0.5066,0.9833,0.83228,1.13344,0.000159079,0.000159079,0.000159079
30,4515.27,0.42098,0.78886,0.69282,1.0122,0.74719,0.74115,0.73466,0.61286,0.75869,0.73694,0.74044,0.60269,0.51827,1.02709,0.85101,1.14922,0.000152011,0.000152011,0.000152011
31,4665.02,0.41986,0.78691,0.69646,1.00888,0.78095,0.76581,0.7714,0.65524,0.78557,0.76799,0.77518,0.63879,0.50494,1.01569,0.78076,1.1358,0.000144942,0.000144942,0.000144942
32,4815.27,0.41466,0.77603,0.67975,1.00524,0.74568,0.74961,0.75766,0.64571,0.76287,0.76309,0.77051,0.62699,0.50921,1.0011,0.81073,1.13207,0.000137873,0.000137873,0.000137873
33,4964.88,0.41023,0.77749,0.66516,1.00437,0.72271,0.77546,0.75647,0.64592,0.79382,0.73675,0.76836,0.63358,0.50529,1.00834,0.80795,1.13079,0.000130805,0.000130805,0.000130805
34,5114.73,0.41153,0.76687,0.65556,1.00249,0.75582,0.76533,0.75807,0.64619,0.79351,0.76286,0.77518,0.63853,0.49686,1.02626,0.81181,1.13189,0.000123736,0.000123736,0.000123736
35,5264.34,0.40106,0.75044,0.64502,0.99736,0.76961,0.75826,0.75864,0.65588,0.78441,0.77138,0.7776,0.64021,0.47958,0.99104,0.80835,1.10682,0.000116668,0.000116668,0.000116668
36,5413.76,0.40608,0.7574,0.64539,1.00188,0.72479,0.7676,0.75424,0.65061,0.78993,0.7367,0.77081,0.6338,0.48377,0.98083,0.78914,1.10469,0.000109599,0.000109599,0.000109599
37,5562.73,0.40264,0.7729,0.62089,0.99883,0.76104,0.74992,0.76832,0.65066,0.77367,0.76294,0.78385,0.63825,0.49112,1.03005,0.79943,1.1282,0.00010253,0.00010253,0.00010253
38,5713.57,0.39735,0.74601,0.61916,0.99604,0.76317,0.7454,0.74337,0.63127,0.77564,0.75621,0.75744,0.62091,0.48284,1.03588,0.81103,1.11541,9.54618e-05,9.54618e-05,9.54618e-05
39,5862.82,0.3956,0.74429,0.61123,0.99175,0.78282,0.74299,0.76122,0.65223,0.7939,0.74889,0.7725,0.63988,0.49464,1.03572,0.79046,1.12537,8.83932e-05,8.83932e-05,8.83932e-05
40,6012.16,0.39188,0.7292,0.58748,0.9934,0.76908,0.75845,0.76824,0.66281,0.81943,0.73852,0.78044,0.65124,0.49709,1.02722,0.78651,1.12888,8.13246e-05,8.13246e-05,8.13246e-05
